,company_no,company_name
333,5020747308,WIBE WORK KFT
334,5592641905,Rörpatrullen AB
335,5020747829,CONCRETE CONSTRUCTION CONTRACTOR OÜ
336,5592655905,PRO VVS Stockholm AB
337,5591561336,Energigrund i Stockholm AB
338,5592674310,Marcus Axelsson arkitekter AB
339,5592579303,Österbo Entreprenad AB
340,5592072929,Törnskogens Konsultbyrå AB
341,5592357775,Koordinator Byggkonsult Stockholm AB
342,5592534910,Arbetsboden i Stockholm AB
343,5592427925,CRSL AB
344,5592418890,Lekberg Brand Identity AB
345,5592640048,Gatter Consulting AB
346,5592035793,RIMA Projekt AB
347,5592598279,M M Håltagning AB
348,5592599582,Rosmarin Designing Communication AB
349,5020598990,HP-GRUPPEN
350,5592758618,Tidlös Arkitektur Anna Duell AB
351,5562615723,Karlebo Helikopter AB
352,5592721343,HEI bygg AB
353,5592812738,Svedén El AB
354,5592657109,EM TAKGRUPPEN AB
355,5592175375,Badrumsdröm Stockholm AB
356,5592722812,Ekrot Tekniska AB
357,5592627656,R&A kvalitetsbygg AB
358,5592588924,Axelsberg Snickeri inom Bygg AB
359,5592604549,GDN Bygg AB
360,5592490980,Robert Lilja's Måleri AB
361,5020759568,CRYSTAL AIR LIMITED
362,5592438153,Wermdö coast construction AB
363,5592413891,Lindfors fönsterhantverk och byggnadsvård AB
364,5592318702,Småelhjälpen AB
365,5592326416,Styresman Byggkonsult AB
366,5592606825,LAMA Bygg AB
367,5020760731,BALTISK BYGG
368,5590988167,GSVent AB
369,5020761739,ALFA LAVAL SUPPORT SERVICE PVT. LTD.
370,5591684641,Nordic Bygg & Fastighetsservice AB
371,5567396659,Ramsta Fastighets AB
372,5592564214,Wegard Design AB
373,5592376858,Andersson & Ljungström Invest AB
374,5592609068,METZ Invest AB
375,9697917525,JELG Handelsbolag
376,5020764048,JUMIKS CONSTRACTION & MAINTENANCE SI A
377,9697872720,EP deco handelsbolag
378,5592671969,DCG Consult Group AB
379,5592526015,JES TA & Trafik Stockholm AB
380,5592179922,VE Bygg AB
381,5592781321,Lindén Montage & Bygg AB
382,5590341219,Rickard Hederstierna Industridesign AB
383,5020766290,EUROPROFIT OY
384,5592179104,EHC i Åkersberga AB
385,5020767363,MODULE HOUSE SALES OÜ
386,5592536006,Rostberg arkitektstudio AB
387,5592359250,Mon nom de plume AB
388,5591097950,Byggservice & Städ Handen AB
389,5592651185,Bioinspira by Johanna AB
390,5164033572,Total Construct; Sweden Rep Office; filial till T.C. International Romania SRL; Rumänien
391,5592678881,Projektförstärkning Sverige AB
392,5591148522,Faskunge Bostadsutveckling AB
393,5592533342,Crowwc Design AB
394,5592735830,Art Papas All Service AB
395,5591859177,HELA Projekt Stockholm AB
396,5592606692,Hantverkaren Niklas Lindquist AB
397,5592394695,Skärgårdsbygg och Design i Gustavsberg AB
398,5566429667,Octaed beräkningskonsulter AB
399,7164244407,KRAMNÄS SAMFÄLLIGHETSFÖRENING
400,5562423367,Setema Trading Aktiebolag
401,5592442122,David Nielsens AB
402,5592763725,Bosses Entreprenad AB
403,5020807029,HOLZ + FORM SCHREINEREI GMBH
404,5592289507,Tricoreal Mitten Holding AB
405,5592455843,Linnea Märak Interiör AB
406,5592272693,Colorita Måleri AB
407,5592583206,NL Invest & Förvaltning AB
408,5592515414,AB TakSpecialisten Norrköping
409,5020767934,TECHNOGARDEN ALBATROSS PROSJEKTLEDELSE
410,5592446719,BELKRAFT AB
411,5592753296,Ninna och Eva Interior AB
412,5564426459,Skedevi Holding AB
413,5592211410,Valgrundet offshore AB
414,5592642945,Serdjo Bygg AB
415,5591343719,MASSIVET HOLDING AB
416,5592564982,DAGO Bygg AB
417,5592560030,VAST AB
418,5592642671,Bird Olofsson AB
419,5592327653,GZ Invest AB
420,5592338916,Glasalux AB
421,9697931708,Axene Productions Handelsbolaget
422,5592747249,Misikoglou Consulting AB
423,5592412836,Bendelins måleri AB
424,5592607948,B2B Ingenjörsbyrå Stockholm AB
425,5592434046,N. Karlsson Byggkonsult AB
426,5592576176,BARKARBY KONSULT BYGGENTREPRENADER AB
427,5592502644,VVS & Förvaltning Stockholm AB
428,5592578875,MIKNEL INSTALLATION SERVICE AB
429,5592579915,Sten i kubik AB
430,5592434160,Medowland AB
431,5592347297,GBB Syd AB
432,5592598220,BB Roslagens Byggtjänst AB
433,5592540644,Henkes Grund & Mark AB
434,5592538044,ROSBORG CONSULTING AB
435,5592754062,R C Byggställningar AB
436,5590755400,Riddersvik kvarter 8 i Hässelby Villastad AB
437,5592378029,Interior Atelier Sweden AB
438,5592555212,AsJabygg AB
439,5592099138,Byggsupport i Stockholm AB
440,5591323786,Nordisk Målare AB
441,5592222565,Astam Bygg AB
442,5592605678,Strimma assistans &informationsteknologi AB
443,5592616907,Elnorm AB
444,5592511025,Beeware AB
445,5592581606,JK Köksmontage AB
446,5592370455,Grundhem Entreprenad AB
447,5592532427,PLC-teknik i Väsby AB
448,5592551542,Moushir Bygg AB
449,5590500913,Solsken Arkitekt AB
450,5592592173,Climac Service AB
451,5164096975,Corning Optical Communications GmbH & Co.KG;      Svensk Filial
452,5164077587,Peter j-son's Allservice Filial
453,5563411304,Coromatic Tullinge AB
454,5565553632,7 Feman Entreprenad AB
455,5592775505,Squarewood Sweden AB
456,5592351778,PrSn Consulting AB
457,5592565948,DMH Byggkonsult i Sverige AB
458,5592413776,Emilsson projektstöd AB
459,5592667983,Richard Lennholm El & Fastighetsteknik AB
460,7164217502,Gräddö-Askens Bryggförening ekonomisk förening
461,5592293996,Trityr Energi AB
462,5592474414,Sun Projektledning AB
463,5590973342,ELFT Elinstallationer och Fastighetsservice AB
464,5591085914,JERRON Solutions AB
465,5562278795,ABV Rock Group AB
466,5592713100,Råsunda Kylteknik AB
467,5592721657,Mellifiq Construction AB
468,5592664691,MARC Golv AB
469,5567302558,Bjälkengren Holding AB
470,5566908595,Sveriges ingenjörer (Ingenjörerna) AB
471,5592344310,Mälarhöjdens Plåt & Bygg AB
472,5020785613,BEAMEST OU
473,5565213492,Täby Installation & Byggteknik Aktiebolag
474,5592294630,FOERM AB
475,7164000783,Föreningen Ranängens Tennisbanor u.p.a.
476,5592566912,C&G Construction AB
477,5563530129,Aktiebolaget Armera i Sverige
478,5592648702,Bonn Projekt AB
479,5590465737,Ålnacken Förvaltning AB
480,5592410590,ZKY Projektledning AB
481,5590608674,Cirk-EL Stockholm AB
482,5564269636,MGH Entreprenad Aktiebolag
483,5592624760,Sjuhundra VVS & Bygg AB
484,5020805361,TECOZAM ESTRUCTURAS Y DRENAJES; SL
485,5567074652,Bygghem Sverige Fastighets AB
486,5591907976,Proveny Aktiebolag
487,5592578610,SPOLBILEN I HÖLÖ AB
488,5592460140,Karl Di Luca Bygg och Inredning AB
489,5591891402,Fibritörerna Sverige AB
490,5592083603,Yabado Sweden AB
491,5592443716,LBT Projektledning AB
492,5592652209,Atusa Entreprenad AB
493,5592427081,Sthlm byggnads och dränering AB
494,5592624851,SAN Design AB
495,5592116809,Kreaty AB
496,5568660228,BENGT PENSION AB
497,5592078611,NWO Arkitektur AB
498,5592658636,EL13R AB
499,5592665672,LPP BYGG AB
500,5592420987,Vingo AB
501,5560712522,Aktiebolaget Rivningshus
502,5592365943,TF Mätkonsult AB
503,5564345774,Norrtälje Bygg- och Marknadsteknik Aktiebolag
504,5592611213,Inter Mark & Last i Nacka AB
505,5565899654,FIERAM AB
506,5592719156,Fyra vinklar Design 4 you AB
507,5591800965,Lidéns bergkonsult AB
508,5592262934,WULFF Projekt i Sverige AB
509,5592548597,Boeno entreprenad AB
510,5592547276,Gyllenfalk Invest AB
511,5592546864,MPM Golv I Norden AB
512,5592653926,Valk Solar Systems Nordics AB
513,5592664725,Spicymind AB
514,5590772983,Smcm fastigheter och förvaltning AB
515,5164116211,Muniak Poland Filial
516,5591330096,DP Projektledning AB
517,5592237282,Svetsare Stockholm AB
518,5592371529,JB Entreprenad och Bygg i Nynäshamn AB
519,5592690811,Carstads Stockholm AB
520,5592577943,Bodana AB
521,5592589500,Ekerö Markanläggning AB
522,5592511439,ETHEO BYGG & KAKEL AB
523,5592787237,BidArk AB
524,5592510449,Thorborg AB
525,5592672934,Anders Hantverkstjänst AB
526,5592302490,Karolina Svahn Arkitektur och Design AB
527,5592410665,Djurhamns skärgårdsbygg AB
528,9696572511,Handelsbolaget Elgruppen Nacka-Ingarö-Värmdö
529,5592470552,VVS Företaget Södertörn AB
530,5592774920,Itaka Holding AB
531,5592108079,VIEVALD AB
532,5592661135,Ruslan Stängsell AB
533,5592683121,Primus Hiss AB
534,5592629736,C.K Måleri AB
535,5592728900,NOTUNG CM AB
536,5592565583,Andewa Bygg AB
537,5592705981,DC Entreprenad AB
538,5592585094,Skilful AB
539,5592631518,Norlin Olsson Aktiebolag
540,5592643521,VOYTECH AB
541,5592697501,LH Renovering AB
542,5592226897,Nacka Sten & Trädgård AB
543,5592757438,GipsProffsen i Sverige AB
544,5592587116,A.J. Projektpartner AB
545,5590738612,Algotina AB
546,5592558521,ADILMAN BYGG AB
547,5592564875,Alpha Entreprenad AB
548,5592132590,PROKA BYGG AB
549,5592396070,Maj Service Aktiebolag
550,5592565161,M8 Bygg AB
551,5568400948,Pristine WBN Properties AB
552,5592353451,YABIMO NORDIC AB
553,5568733165,Brandbergens Tak & Tätskikt AB
554,5592387319,DRYMAN AB
555,5592677073,Elinstallationsspecialisten i Stockholm AB
556,5592456999,Flooring Consultancy Scandinavia AB
557,5565669578,BokaBoende i Sverige AB
558,5592485089,HimlenMark AB
559,9697927581,Alfonso Service Handelsbolag
560,5592455272,MJ30 AB
561,5569977795,RIAHN Capital AB
562,7696374474,MYCKET COLLABORATION Ekonomisk förening
563,5592277890,Torandia Bygg & Fastighetsutveckling AB
564,5020777073,SABIEDRIBA AR IEROBEZOTU ATBILDIBU CONSTRUCTO
565,5164104282,MB Evjonas filial
566,5592507213,Adam Nordin AB
567,5592762206,AB H Mark
568,5592722499,MS WinCon AB
569,9697926666,D & A Delivery Handelsbolag
570,5590783121,Heritage Riv & Sanering AB
571,5591550586,Bröderna Eklund Betong AB
572,5569989535,Amros Bygg AB
573,5592560295,Eliana Bygg AB
574,5592384092,Skölds Larm & El service i Täby AB
575,5592389562,T.Lindberg El & Styrteknik AB
576,5020781216,WILLIAM USHER LIMITED
577,5591092142,Escada Bygg AB
578,5590563218,Hyria AB
579,5020781257,UNLEASHED OÜ
580,5164117110,SKOGBERGA BRANDTÄTNING Filial
581,5592439953,DSL Construction AB
582,5592539950,Flysta Bygg & Consulting AB
583,5591338172,Byggplattform Sverige AB
584,5592538945,J&A Allservice AB
585,5020782412,ANEKON OÜ
586,5020488994,TERWIEGE GARTEN UND LANDSCHAFTBAU GMBH
587,5020603352,EIDSIVA ENERGI ENTREPRENÖR AS
588,5020604285,FORBES LESLIE NETWORK LTD
589,5020605753,MILJÖANFT ANS
590,5020621412,INTER-TROCK-BAU SP. Z O.O.
591,5020638838,OÜ RANARDE
592,5020641824,STOHOLENS ENTREPRENÖRFORRETNING A/S
593,5020642467,HELP; N. O.
594,5020647235,ESTERVIK OÜ
595,5020648324,SUPER RENOVATORS LTD
596,5020662374,OSAHÜNG SCARDOON
597,5020662416,KER-LÁNCKERESKEDELMI ÉS SZOLGÁLTATÓ BETÉTI TÁRSASÁG
598,5020664420,MOONHOUSE OÜ
599,5020668587,LATHUS SIA
600,5592486020,Dudzik Construction AB
601,5592661903,ABC bygg gruppen AB
602,5592471345,New Real Estate Sweden AB
603,5592515935,Franka Projektutveckling AB
604,5592739386,Per Selin Grund & Mark AB
605,5592530330,Anders Millde AB
606,5592335045,Solliden Energi AB
607,5592361363,Arton A Consulting AB
608,5590747662,Blixttransport Stockholm AB
609,5592701568,EMM EL AB
610,5590862941,S&A Alamäki AB
611,5164106402,Empower Tele filial Sweden
612,5592201809,D-Mätteknik AB
613,5568411085,Wolly Bugger Projektteknik AB
614,5592485865,DP Bygg & projektledning AB
615,5591335020,Topia Holding AB
616,5567029086,Skua AB
617,5592433782,Aktiebolaget Ederman
618,5565571659,Tom Lindqvist Byggutveckling AB
619,5566055173,Ovidius AB
620,5592613375,Värmdö Skorsten och Kaminservice AB
621,5567042030,Kenneth Lindell Invest AB
622,9696018028,Stangenberg Byggkonsult Lidingö Handelsbolag
623,5592315294,Göthes Snickeri Aktiebolag
624,5569019051,Sandika 6:2 AB
625,5592578842,KBII AB
626,5592636319,Damian Bygg i Stockholm AB
627,5020787783,ASPECT ENVIRONMENTAL LTD
628,5592566128,SAG KONSULT AB
629,5592157977,Nattalex AB
630,8025090880,We Unite Design Sweden Ideell förening            med firma We Unite Design Sweden
631,5592634959,Elstöten AB
632,5020788641,UAB BORANA
633,5591975676,RENTACELL SVERIGE AB
634,5592642184,Frank Shop AB
635,5590706205,Indust Bygg & Entreprenad AB
636,5592698855,FRANSEN AB
637,5592355472,Haimdall Solutions AB
638,5164121799,RUSZTOWANIA CHRZANOWSKI Filial
639,5569826000,Cabala Group AB
640,5567567028,Papakura AB
641,5566602933,Havspuls AB
642,5020789060,WAYSS & FREYTAG SPEZIALTIEFBAU GMBH
643,5164108929,Ocular Solutions Sweden Ltd filial
644,5592568439,Reriksberg AB
645,5020789649,CYBERTEX LTD
646,5591180707,SWEMMN KONSULT AB
647,5591834493,Westers Elektriska AB
648,5592423387,Mälardalens Rörinfodring AB
649,5562504190,Real Estate Development Ltd in Stockholm          Aktiebolag
650,5590888979,JLI arkitekt AB
651,5592701477,MAX POOL & SPA AB
652,5590084983,Asperin Holding AB
653,5020846639,SKANSKA INFRA OY
654,5592576838,aktiebolaget LPM plåtslageri
655,5592393911,Ha-ha-land AB
656,5565543146,Möllerholm Förädling och Förvaltning AB
657,5591769251,MALPA BYGG AB
658,5592515141,L House AB
659,5592254923,Brick By Brick i Sverige AB
660,5569841066,NemXS AB
661,8024300660,KONSTATTACK
